acanthochromis polyacanthus
ailuropoda melanoleuca
amphilophus citrinellus
amphiprion ocellaris
amphiprion percula
anabas testudineus
anas platyrhynchos
anolis carolinensis
aotus nancymaae
astatotilapia calliptera
astyanax mexicanus
bos taurus
caenorhabditis elegans
callithrix jacchus
canis familiaris
capra hircus
carlito syrichta
cavia aperea
cavia porcellus
cebus capucinus
cercocebus atys
chinchilla lanigera
chlorocebus sabaeus
choloepus hoffmanni
ciona intestinalis
ciona savignyi
cynoglossus semilaevis
cyprinodon variegatus
danio rerio
dasypus novemcinctus
dipodomys ordii
drosophila melanogaster
echinops telfairi
eptatretus burgeri
equus caballus
erinaceus europaeus
esox lucius
felis catus
ficedula albicollis
fukomys damarensis
fundulus heteroclitus
gadus morhua
gallus gallus
gambusia affinis
gasterosteus aculeatus
gopherus agassizii
gorilla gorilla
haplochromis burtoni
hippocampus comes
ictalurus punctatus
ictidomys tridecemlineatus
jaculus jaculus
kryptolebias marmoratus
labrus bergylta
latimeria chalumnae
lepisosteus oculatus
loxodonta africana
macaca fascicularis
macaca mulatta
macaca nemestrina
mandrillus leucophaeus
mastacembelus armatus
maylandia zebra
meleagris gallopavo
mesocricetus auratus
microcebus murinus
microtus ochrogaster
mola mola
monodelphis domestica
monopterus albus
mus caroli
mus musculus
mus pahari
mus spretus
myotis lucifugus
nannospalax galili
neolamprologus brichardi
nomascus leucogenys
notamacropus eugenii
ochotona princeps
octodon degus
oreochromis niloticus
ornithorhynchus anatinus
oryctolagus cuniculus
oryzias latipes
oryzias melastigma
otolemur garnettii
ovis aries
pan paniscus
panthera pardus
pan troglodytes
papio anubis
paramormyrops kingsleyae
pelodiscus sinensis
periophthalmus magnuspinnatus
petromyzon marinus
phascolarctos cinereus
poecilia formosa
poecilia latipinna
poecilia mexicana
poecilia reticulata
pongo abelii
procavia capensis
propithecus coquereli
pteropus vampyrus
pundamilia nyererei
pygocentrus nattereri
rattus norvegicus
rhinopithecus bieti
rhinopithecus roxellana
saccharomyces cerevisiae
sarcophilus harrisii
scleropages formosus
scophthalmus maximus
seriola dumerili
sorex araneus
sphenodon punctatus
stegastes partitus
sus scrofa
taeniopygia guttata
takifugu rubripes
tetraodon nigroviridis
tupaia belangeri
tursiops truncatus
ursus americanus
ursus maritimus
vicugna pacos
vulpes vulpes
xenopus tropicalis
xiphophorus couchianus
xiphophorus maculatus
homo sapiens
